"RegionName","City","State","Metro","CountyName","SizeRank","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06"
"Columbus Circle","New York","NY","New York","New York",21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.66355914174568,5.67983367983368,5.6706623647751,5.6337559546221,5.61954261954262,5.61220836220836,5.67806841046278,5.64173228346457,5.67983367983368,5.66319118436054,5.62577962577963,5.60706860706861,5.62577962577963,5.6337559546221,5.62577962577963,5.5932727341178,5.61954261954262,5.57679479801565,5.60706860706861,5.64173228346457,5.64173228346457,5.66739606126915,5.67983367983368,5.67895104514823
"North San Jose","San Jose","CA","San Jose","Santa Clara",22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.15505226480836,4.21582249542776,4.16165413533835,4.13265306122449,4.14285714285714,4.30307214628971,4.20452833406768,4.17857142857143,4.14783991885287,4.01785714285714,3.96655518394649,3.90248226950355
"Streeterville","Chicago","IL","Chicago","Cook",23,2.23756906077348,2.23756906077348,2.23275862068966,2.26371951219512,2.28754052460949,2.35655058043118,2.33941093969144,2.38959305849452,2.4390243902439,2.45093726937269,2.44306418219462,2.44014732965009,2.448,2.493202425778,2.53278979409178,2.57826887661142,2.55447031039136,2.5407824933687,2.56222369584439,2.61818181818182,2.55897435897436,2.56896551724138,2.54101737299289,2.58333333333333,2.61666666666667,2.65446787148594,2.69151138716356,2.72727272727273,2.77145438121048,2.76046296296296,2.7037037037037,2.63333333333333,2.64285714285714,2.6307112429001,2.65897435897436,2.65249077490775,2.70664206642066,2.76198630136986,2.79963235294118,2.85110294117647,2.93899480661473,3.05606244931062,2.93518518518519,3.0333969987352,2.94774117026885,2.76794871794872,2.78740157480315,2.83506944444444,3.01951566951567,2.98866772823779,2.92962962962963,2.92081031307551,2.88135593220339,2.83007518796992,2.76463133640553,2.73,2.73921591038976,2.76540731995277,2.77572016460905,2.83084577114428,2.93554131054131,2.88888888888889,2.89907407407407,2.83007518796992,2.90740740740741
"Gold Coast","Chicago","IL","Chicago","Cook",24,,,,,,,,,,,,,,,,2.53387902676328,2.53387902676328,2.5213549985537,2.5290770062757,2.53861003861004,2.51968503937008,2.53861003861004,2.53861003861004,2.63144242540245,2.43822393822394,2.61670235546039,2.52316602316602,2.60038990058675,2.57915057915058,2.54651162790698,2.57303985650442,2.57915057915058,2.52316602316602,2.47685326807382,2.57915057915058,2.6,2.61220472440945,2.59100642398287,2.58880308880309,2.50837988826816,2.52123552123552,2.6003937007874,2.66338582677165,2.66338582677165,2.61220472440945,2.61220472440945,2.64618249534451,2.57915057915058,2.58977213996899,2.52123552123552,2.55549384180669,2.55549384180669,2.6003937007874,2.55307262569832,2.55791505791506,2.53674361115475,2.51971326164875,2.53674361115475,2.55307262569832,2.56853281853282,2.55847782416048,2.55032119914347,2.51930501930502,2.51930501930502,2.52316602316602
"Dupont Circle","Washington","DC","Washington","District of Columbia",25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.53032133906194,4.68696286964335,4.67241415944246,4.47692307692308,4.12408759124088,4.12280701754386,4.12280701754386,4.20289855072464,4.20289855072464,4.32598039215686,4.20289855072464,4.21134020618557,4.20289855072464,4.25,4.32856037151703,4.01733857477417,4.15113871635611,4.29519695552177,4.27018633540373,4.33823529411765,4.19456066945607,4.1595547309833,4.1362796034807,4.22631134745472,4.2997542997543,4.35335497835498,4.54545454545455,4.29400712025316,4.16666666666667,4.24624999395355,4.35507823819183,4.40476190476191,4.86899563318777,4.48744769874477,4.39109311740891
"Northwest","Portland","OR","Portland","Multnomah",26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.56626506024096,2.59686888454012,2.74072350920644,2.66666666666667,2.61396103896104,2.52292020373514,2.61352040816327,2.57647058823529,2.61232876712329,2.61546052631579,2.6025641025641,2.55,2.625
"Downtown","Bellevue","WA","Seattle","King",27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.95138888888889,2.82442748091603,2.89565217391304,2.92490118577075,2.93900184842884,2.94444444444444,2.95836919879698,2.95836919879698,2.93900184842884,2.97773654916512,2.97773654916512,2.9324055666004,2.96703296703297,2.94297352342159,2.92607802874743,2.92492492492492,3.06028235882059,3.01645338208409,3.08641975308642,3.17593984962406
"Lincoln Park","Chicago","IL","Chicago","Cook",28,,,,,,,,,,,,,,,,,,,,,,,,,,2.93036971830986,2.94907581453634,2.87878787878788,3.25,3.13769751693002,3.07038834951456,2.99936800288913,2.97619047619048,2.97619047619048,3.01282051282051,3.02724358974359,2.93154761904762,2.66312056737589,2.75378787878788,2.93154761904762,2.97619047619048,2.95386904761905,2.99450549450549,3.07038834951456,2.99450549450549,3.02724358974359,2.99450549450549,3.04166666666667,2.99450549450549,2.84090909090909,2.93154761904762,2.93154761904762,2.93154761904762,2.92410714285714,2.45283018867925,2.42352941176471,2.65957446808511,2.65957446808511,2.71101928374656,2.84090909090909,2.88571428571429,2.82319427148194,2.84090909090909,2.82319427148194,2.82319427148194
"Old Town","Chicago","IL","Chicago","Cook",29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.87,2.89898773006135,2.88155589123867,2.91768916155419,2.87311178247734,2.87,2.79,2.79,3.05,2.79,2.94861963190184,2.9489263803681,2.95245398773006,2.99532102779438,2.95,3.01214285714286,2.93333333333333,3,2.84,2.69230769230769,2.68181818181818,2.78923076923077,2.78095238095238,2.78095238095238,2.86
"Hunters Point","New York","NY","New York","Queens",30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.51737451737452,4.51515151515152,4.51515151515152,4.50474383301708,4.5532319391635,4.56362160224373,4.54118823938761,4.54166666666667,4.54545454545455,4.54070981210856,4.52638637373151,4.51737451737452,4.5,4.51515151515152,4.50304259634888,4.51737451737452,4.55806604668818,4.51737451737452,4.56565656565657,4.51960784313725
"The Loop","Chicago","IL","Chicago","Cook",31,,,,,,,,,,2.65787037037037,2.65291095890411,2.6280487804878,2.6280487804878,2.66341463414634,2.66672619547861,2.72339030206677,2.68141290726817,2.70363636363636,2.78739697802198,2.84440842787682,2.83830210107893,2.76073619631902,2.73267326732673,2.79605263157895,2.79658564814815,2.78703703703704,2.85841349976149,2.86184210526316,2.87576687116564,2.90740740740741,2.85616438356164,2.84547069271758,2.85144098139344,2.86324786324786,2.86934343434343,2.85968028419183,2.79850746268657,2.7911714770798,2.81997863247863,2.84057979199553,2.86117373461858,2.92090395480226,2.92246835443038,2.96934865900383,2.9042904290429,2.87406015037594,2.83536585365854,2.90230905861457,2.89873417721519,2.90562613430127,2.9326158566123,2.97118360437544,2.94132513661202,2.96422487223169,2.82056343370682,2.80551823655272,2.84014209591474,2.96992023114126,2.94561933534743,2.9449378330373,2.93607954545455,2.93896748207093,2.93250444049734,2.9106239460371,2.92288846695658
"East Cambridge","Cambridge","MA","Boston","Middlesex",32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.71164510166359,5.20742358078603,5.27482269503546,5.2339269371568,4.50980392156863,4.52475755645218,4.39130434782609,4.36154723564144,4.63035714285714,4.72663139329806,4.72663139329806,4.61322736822874,4.46153846153846,4.35887751786875
"Downtown","New York","NY","New York","Kings",33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.35785288270378,5.58038833189675,5.35873599003736,5.31809145129225,5.32363636363636,5.10669362084456,5.25,5.31683168316832,5.00533049040512,5.07487520798669,5.11745944994241,5.05467196819085,5.01701273339577,5.0596421471173,5.11904761904762,5.0596421471173,5.06018544602828,5.00071794427966,4.96975806451613,4.98080614203455,4.93230488099553,5.10526315789474,5.24487849981219
