z_hood,mean_zri
273888,1515.93243243
270188,1473.94594595
276619,1364.0
116856,1922.01351351
120904,1152.91891892
275179,1100.51351351
274080,1094.04054054
271178,1336.02702703
274073,1009.72972973
271220,1714.54054054
35961,1860.16393443
270899,982.040540541
272876,1110.03508772
275734,1148.39189189
269220,1241.77027027
270064,758.959459459
117447,3119.31081081
270952,3532.8852459
210148,1153.86486486
273187,1320.75675676
268628,1297.13513514
270325,1104.93243243
275961,1265.67567568
268045,1916.31081081
272869,3603.62295082
271635,1460.33783784
403318,1339.2027027
273567,1741.25675676
50348,1909.91803279
268450,4670.72972973
273175,727.972972973
268007,2083.37837838
276514,2829.45945946
417224,2111.7972973
274579,1571.81081081
273179,2120.77027027
200713,761.0
271021,703.364864865
274795,1287.85135135
275041,1007.31081081
269587,1678.28378378
121704,2384.37837838
38625,1549.7972973
268577,1306.51351351
417517,3196.04054054
403559,4868.44594595
403325,1606.68918919
269570,1326.74324324
272951,1788.21621622
403367,1381.52702703
139408,1430.91891892
268383,3557.16216216
274950,2387.44594595
275795,2501.51351351
271041,746.594594595
273803,1212.63513514
275833,1390.06756757
275621,867.689189189
126082,1365.89189189
276010,1662.36486486
121248,3735.48648649
272716,1123.39189189
275057,1181.93243243
275553,1362.98648649
274797,1523.06756757
273485,2121.13513514
269599,1790.32432432
267954,1640.78378378
275702,1345.97297297
270176,1274.12162162
269717,1397.22807018
268273,1533.18918919
116921,2159.68918919
15856,2649.55405405
403531,1189.87837838
268304,2888.37837838
275071,1089.61971831
271904,1057.93243243
274836,1743.13513514
416302,1675.37837838
416315,1647.67567568
115622,2043.14864865
403481,2709.41891892
268672,1746.25675676
271850,2135.97297297
275991,1982.12162162
403539,1144.37837838
273084,1105.13513514
188520,1834.33783784
268899,1581.85135135
268689,1338.31081081
403228,2121.01639344
396588,927.054054054
113749,6822.0
273182,778.121621622
403142,5011.5
276627,1034.77027027
275929,903.391891892
623419,3926.18918919
201373,803.878378378
274212,593.959459459
416184,1232.51351351
275990,1385.78378378
274289,877.189189189
194503,1007.16216216
271079,1393.66216216
268249,2241.44594595
47039,2471.47540984
200100,904.945945946
272738,1256.55405405
54374,1682.08108108
275222,1617.98648649
416968,1917.54054054
275485,877.5
269590,2284.97297297
276112,924.702702703
273458,968.054054054
114283,1888.22972973
275659,1742.81428571
407493,1741.95945946
273380,2112.97297297
272785,2043.60655738
196620,2051.80327869
273421,902.054054054
273885,1048.66216216
216249,1013.7972973
403136,2071.52459016
275103,1485.04054054
273828,2071.24324324
270065,748.959459459
32192,2107.7704918
275186,1734.48648649
28119,5443.62162162
242091,1553.86486486
271560,1209.58108108
183052,1156.47297297
274388,1311.36486486
403317,1501.7027027
273257,1998.12162162
403533,1702.2972973
275243,2838.43243243
738018,1657.01351351
55801,1983.27868852
274014,1172.06756757
196213,1948.78688525
271183,891.554054054
276222,1288.36486486
276675,1260.62162162
271439,1087.7972973
208709,940.783783784
268132,2053.2972973
343866,1327.94594595
269207,1644.77027027
274145,807.297297297
276540,1388.83783784
275519,1443.87837838
343219,1844.70491803
268488,1528.64864865
271410,1209.74324324
23566,1041.33783784
271096,1304.67567568
273263,2312.28378378
269678,726.621621622
272907,960.472972973
276250,1235.77027027
417220,1342.18918919
403378,1291.2972973
213529,1729.09459459
274946,835.648648649
270800,2019.80327869
250050,1801.41891892
270840,760.675675676
274207,1255.93243243
271575,901.932432432
273832,1132.43661972
415982,1175.16216216
273464,794.283783784
272740,1087.04054054
51820,1941.16216216
342680,1160.27027027
422788,848.756756757
403516,1131.04054054
422798,829.459459459
275430,1094.66216216
403549,2257.0
121729,3966.82432432
271448,1780.81081081
268662,1826.2027027
189015,2213.24324324
416852,1950.13513514
124860,972.040540541
270268,825.986486486
268206,4092.72972973
268771,1728.28378378
274461,1359.18918919
196875,2065.70491803
274674,1234.36486486
403535,1114.04054054
272968,2160.01351351
274726,1217.67567568
272770,1064.16216216
268774,1555.94594595
416969,2008.67567568
273978,844.635135135
113128,1110.01351351
403225,2122.13114754
272984,1220.83783784
275382,950.094594595
251060,2096.7972973
